	小分類名
50902	和牛その他不定貫OP
50903	国産牛その他交雑肉専OP
50904	国産牛切り落し不定貫OP
50905	国産牛スライス不定貫OP
50906	国産牛ステーキ不定貫OP
50907	国産牛焼肉不定貫OP
50908	国産牛しゃぶ不定貫OP
50909	国産牛かたまり不定貫OP
50910	国産牛味付け不定貫OP
50911	国産牛その他不定貫OP
50912	輸入牛切り落し不定貫OP
50913	輸入牛スライス不定貫OP
50914	輸入牛ステーキ不定貫OP
50915	輸入牛焼肉不定貫OP
50916	輸入牛しゃぶ不定貫OP
50917	輸入牛かたまり不定貫OP
50918	輸入牛味付け不定貫OP
50919	輸入牛その他不定貫OP
50920	輸入牛原料
50921	焼肉セット(牛入り)OP
50922	しゃぶセット(牛入り)OP
50923	その他セット(牛入り)OP
50924	牛挽肉不定貫OP
50925	牛豚挽肉不定貫OP
50926	牛内臓不定貫OP
50927	牛肉その他不定貫OP
50928	銘柄豚切り落し不定貫OP
50929	銘柄豚スライス不定貫OP
50930	銘柄豚ステーキ不定貫OP
50931	銘柄豚焼肉不定貫OP
50932	銘柄豚しゃぶ不定貫OP
50933	銘柄豚かたまり不定貫OP
50934	銘柄豚味付不定貫OP
50935	銘柄豚その他不定貫OP
50936	銘柄豚原料
50937	こだわり豚切り落し不定貫OP
50938	こだわり豚スライス不定貫OP
50939	こだわり豚ステーキ不定貫OP
50940	こだわり豚焼肉不定貫OP
50941	こだわり豚しゃぶ不定貫OP
50942	こだわり豚かたまり不定貫OP
50943	こだわり豚味付不定貫OP
50944	こだわり豚その他不定貫OP
50945	こだわり豚原料
50946	国産豚切り落し不定貫OP
50947	国産豚スライス不定貫OP
50948	国産豚ステーキカツ不定貫OP
50949	国産豚焼肉不定貫OP
50950	国産豚しゃぶ不定貫OP
50951	国産豚かたまり不定貫OP
50952	国産豚味付不定貫OP
50953	国産豚その他不定貫OP
50954	国産豚原料
50955	輸入豚切り落し不定貫OP
50956	輸入豚スライス不定貫OP
50957	輸入豚ステーキカツ不定貫OP
50958	輸入豚焼肉不定貫OP
50959	輸入豚しゃぶ不定貫OP
50960	輸入豚かたまり不定貫OP
50961	輸入豚味付不定貫OP
50962	輸入豚その他不定貫OP
50963	輸入豚原料
50964	焼肉セット(豚のみ)OP
50965	しゃぶセット(豚のみ)OP
50966	その他セット(豚のみ)OP
50967	豚挽肉不定貫OP
50968	豚内臓不定貫OP
50969	豚肉その他不定貫OP
50970	銘柄鶏正肉不定貫OP
50971	銘柄鶏切身不定貫OP
50972	銘柄鶏骨もの不定貫OP
50973	銘柄鶏内臓不定貫OP
50974	銘柄鶏味付不定貫OP
50975	銘柄鶏その他不定貫OP
50976	銘柄鶏原料
50977	こだわり鶏正肉不定貫OP
50978	こだわり鶏切身不定貫OP
50979	こだわり鶏骨もの不定貫OP
50980	こだわり鶏内臓不定貫OP
50981	こだわり鶏味付不定貫OP
50982	こだわり鶏その他不定貫OP
50983	こだわり鶏原料
50984	国産鶏正肉不定貫OP
50985	国産鶏切身不定貫OP
50986	国産鶏骨もの不定貫OP
50987	国産鶏内臓不定貫OP
50988	国産鶏味付不定貫OP
50989	国産鶏その他不定貫OP
50990	国産鶏原料
50991	輸入鶏正肉不定貫OP
50992	輸入鶏切身不定貫OP
50993	輸入鶏骨もの不定貫OP
50994	輸入鶏内臓不定貫OP
50995	輸入鶏味付不定貫OP
50996	輸入鶏その他不定貫OP
50997	輸入鶏原料
50998	鶏挽肉不定貫OP
50999	鶏肉その他生肉その他
51001	業務用インストアタレ
51002	業務用小袋タレ(添付)
51003	その他業務用
58000	UNY統合用非課税
58100	UNY統合用8％外税
58200	UNY統合用8％内税
58300	UNY統合用10％外税
58400	UNY統合用10％内税
60100	野菜
60101	ほうれんそう
60102	にら
60103	小松菜
60104	水菜類
60105	春菊類
60106	その他葉茎類
60107	妻物類
60108	青しそ類
60109	スプラウト類
60110	三つ葉類
60111	レタス類
60112	その他洋菜類
60113	アスパラ類
60114	ブロッコリー類
60115	ハーブ類
60116	ベビーリーフ類
60117	セロリ類
60118	きゅうり類
60119	トマト類
60120	こだわりトマト
60121	ミニトマト類
60122	こだわりミニトマト
60123	カットサラダ類
60124	とうもろこし類
60125	サヤエンドウ類
60126	スナップえんどう
60127	インゲン類
60128	その他豆類
60129	枝豆類
60130	生たけのこ類
60131	山菜類
60132	キャベツ類
60133	白菜類
60134	大根類
60135	白葱類
60136	その他葱類
60137	生姜類
60138	茄子類
60139	ピーマン類
60140	オクラ類
60141	その他果菜類
60142	ごぼう類
60143	れんこん
60144	里芋類
60145	南瓜類
60146	にんにく類
60147	梅類
60148	らっきょ類
60149	もやし
60150	便利野菜類
60151	その他土物類
60152	玉葱類
60153	じゃがいも類
60154	さつま芋類
60155	人参類
60156	長芋類
60157	エリンギ類
60158	シメジ類
60159	その他菌茸類
60160	エノキ類
60161	生椎茸類
60162	舞茸類
60163	ナメコ類
60164	松茸類
60165	その他生鮮野菜類
60166	焼き芋
60167	オーガニック
60194	催事
60198	野菜評価損B
60200	果物
60201	いちご
60202	ベリー類
60203	青果肉メロン
60204	赤果肉メロン
60205	その他メロン
60206	すいか
60207	黒ぶどう
60208	赤ぶどう
60209	緑ぶどう
60210	デラウェアー類
60211	国産ぶどう
60212	輸入ぶどう
60213	いちじく
60214	栗
60215	ビワ
60216	さくらんぼ・チェリー
60217	プラム
60218	桃
60219	梨
60220	柿
60221	干し柿
60222	りんご
60223	みかん
60224	デコポン・しらぬい
60225	その他国産柑橘類
60226	レモン・ライム
60227	オレンジ
60228	その他輸入柑橘類
60229	キウイ
60230	バナナ
60231	パイナップル
60232	アボカド
60233	マンゴ
60234	その他輸入果実
60235	その他果実類
60236	アウトカットフルーツ
60237	インストアカットフルーツ
60238	スイーツ
60239	果物ギフト
60240	野菜発送ギフト
60241	手土産ギフト
60242	お供えセット
60298	果実評価損B
60300	加工品
60301	ドレッシング類
60302	ソース類
60303	甘栗類
60304	ジュース・ゼリー類
60305	ドライフルーツ
60306	水煮たけのこ
60307	その他水物類
60308	切干大根類
60309	干し芋類
60310	鍋スープ・スープ類
60311	冷凍加工品類
60312	漬物用品類
60313	その他加工野菜類
60314	その他加工果物類
60398	青果加工品評価損B
60400	花
60401	雑貨類
60402	加工処理花類
60403	しめ縄飾り類
